device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,ms,peak_mem_mb,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,32,0.750000,121,91,0.451446,106.927,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,32,0.750000,121,91,0.797272,146.152,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,32,0.750000,121,91,1.242161,178.920,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,48,0.750000,121,91,0.665665,114.490,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,48,0.750000,121,91,1.065612,166.426,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,48,0.750000,121,91,1.877904,210.913,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,176,64,0.750000,121,91,0.882268,122.708,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,176,64,0.750000,121,91,1.428366,187.746,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,176,64,0.750000,121,91,2.525330,242.905,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,1,0.750000,144,109,0.105381,15.321,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,1,0.750000,144,109,0.134230,52.006,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,1,0.750000,144,109,0.122786,117.952,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,8,0.750000,144,109,0.222206,96.490,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,8,0.750000,144,109,0.278234,115.207,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,8,0.750000,144,109,0.497103,134.096,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,16,0.750000,144,109,0.326753,100.802,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,16,0.750000,144,109,0.429153,128.348,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,16,0.750000,144,109,0.805616,155.194,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,24,0.750000,144,109,0.437021,105.802,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,24,0.750000,144,109,0.679016,141.594,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,24,0.750000,144,109,1.156211,173.323,ok,32,1280,16,4.0,1.0,80,4
RTX3090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,32,0.750000,144,109,0.542164,110.552,ok,32,1280,16,4.0,1.0,80,4
